"Код;Наименование;Уровень1;Уровень2;Уровень3;Цена;ЦенаСП;Количество;Поля свойств;Совместные покупки;Единица измерения;Картинка;Выводить на главной;Описание"
"Б0000340;Гвозди L- 50*2.5мм;КрепежСаморезыГвозди;Гвозди;;5130;4736;41.02;;;кг;gvozdi;0;"
"Б0000449;Гвозди L- 60*2.5мм;КрепежСаморезыГвозди;Гвозди;;5130;4736;10;;;кг;gvozdi;0;"
"Б0000450;Гвозди L- 70*30мм;КрепежСаморезыГвозди;Гвозди;;4940;4553;17;;;кг;gvozdi;0;"
"Б0000451;Гвозди L- 80*30мм;КрепежСаморезыГвозди;Гвозди;;4940;4553;25;;;кг;gvozdi;0;"
"Б0000452;Гвозди L- 90*35мм;КрепежСаморезыГвозди;Гвозди;;4750;4440;39;;;кг;gvozdi;0;"
"Б0000453;Гвозди L-100*40мм;КрепежСаморезыГвозди;Гвозди;;4750;4399;0.001;;;кг;gvozdi;0;"
"Б0000454;Гвозди L-120*40мм;КрепежСаморезыГвозди;Гвозди;;4750;4399;34;;;кг;gvozdi;0;"
"Б0000455;Гвозди L-150*50мм;КрепежСаморезыГвозди;Гвозди;;4750;4399;22;;;кг;gvozdi;0;"
"Б0000456;Гвозди L-200*60мм;КрепежСаморезыГвозди;Гвозди;;4750;4399;7;;;кг;gvozdi;0;"
"Б0000438;Дюбель 10х 90 для крепления изол. материалов с мет. гвоздем;КрепежСаморезыГвозди;Дюбели;;453;443;254;;;шт;;0;"
"Б0000439;Дюбель 10х 90 для крепления изол. материалов с пласт. гвоздем;КрепежСаморезыГвозди;Дюбели;;265;259;392;;;шт;;0;"
"Б0000440;Дюбель 10х120 для крепления изол. материалов с мет. гвоздем;КрепежСаморезыГвозди;Дюбели;;528;517;870;;;шт;;0;"
"Б0000441;Дюбель 10х120 для крепления изол. материалов с пласт. гвоздем;КрепежСаморезыГвозди;Дюбели;;265;259;604;;;шт;;0;"
"Б0000392;Дюбель 10х140 для крепления изол. материалов с мет. гвоздем;КрепежСаморезыГвозди;Дюбели;;615;602;880;;;шт;sd_00120;0;"
"Б0000442;Дюбель 10х140 для крепления изол. материалов с пласт. гвоздем;КрепежСаморезыГвозди;Дюбели;;289;283;1109;;;шт;;0;"
"Б0000444;Дюбель 10х160 для крепления изол. материалов с мет. гвоздем;КрепежСаморезыГвозди;Дюбели;;627;614;1585;;;шт;;0;"
"Б0000443;Дюбель 10х160 для крепления изол. материалов с пласт. гвоздем;КрепежСаморезыГвозди;Дюбели;;327;320;2560;;;шт;;0;"
"Б0000446;Дюбель 10х180 для крепления изол. материалов с мет. гвоздем;КрепежСаморезыГвозди;Дюбели;;741;725;532;;;шт;sd_00121;0;"
"Б0000445;Дюбель 10х180 для крепления изол. материалов с пласт. гвоздем;КрепежСаморезыГвозди;Дюбели;;377;369;665;;;шт;;0;"
"Б0001255;Дюбель 12х60 полипропилен распорный (500шт);КрепежСаморезыГвозди;Дюбели;;83;81;1773;;;шт;;0;"
"Б0001253;Дюбель 6х35 полипропилен распорный (1000шт);КрепежСаморезыГвозди;Дюбели;;38;38;661;;;шт;sd_00122;0;"
"Б0001254;Дюбель 8х50 полипропилен распорный (1000шт);КрепежСаморезыГвозди;Дюбели;;57;56;2040;;;шт;;0;"
"Б0001474;Дюбель распорный \Ежик\ 6х30;КрепежСаморезыГвозди;Дюбели;;47;47;1264;;;шт;;0;"
"Б0001475;Дюбель распорный \Ежик\ 6х40;КрепежСаморезыГвозди;Дюбели;;55;54;225;;;шт;;0;"
"Б0001476;Дюбель распорный \Ежик\ 6х60;КрепежСаморезыГвозди;Дюбели;;68;67;1082;;;шт;;0;"
"Б0001477;Дюбель распорный \Ежик\ 8х50;КрепежСаморезыГвозди;Дюбели;;61;60;1892;;;шт;;0;"
"Б0001478;Дюбель распорный \Ежик\ 8х60;КрепежСаморезыГвозди;Дюбели;;89;87;1731;;;шт;;0;"
"Б0001479;Дюбель распорный \Ежик\ 8х80;КрепежСаморезыГвозди;Дюбели;;114;111;1193;;;шт;;0;"
"Б0001486;Дюбель фасадный TSX-S 10х100  (50шт.);КрепежСаморезыГвозди;Дюбели;;690;676;51;;;шт;;0;"
"Б0001773;Дюбель фасадный TSX-S 10х115;КрепежСаморезыГвозди;Дюбели;;753;737;126;;;шт;;0;"
"Б0001487;Дюбель фасадный TSX-S 10х135  (50шт.);КрепежСаморезыГвозди;Дюбели;;1029;1008;57;;;шт;;0;"
"Б0001392;Дюбель-бабочка TNF 10х50;КрепежСаморезыГвозди;Дюбели;;101;99;1303;;;шт;;0;"
"Б0001370;Дюбель-гвоздь  6*40 гриб (1500шт);КрепежСаморезыГвозди;Дюбели;;86;84;1900;;;шт;sd_00125;0;"
"Б0000255;Дюбель-гвоздь  6*40 потай (1500шт);КрепежСаморезыГвозди;Дюбели;;82;80;1960;;;шт;sd_00125;0;"
"Б0001716;Дюбель-гвоздь  6*60 гриб (1000шт);КрепежСаморезыГвозди;Дюбели;;113;110;1000;;;шт;sd_00123;0;"
"Б0002822;Дюбель-гвоздь  6*80 гриб;КрепежСаморезыГвозди;Дюбели;;181;177;500;;;шт;sd_00124;0;"
"Б0001083;Дюбель-гвоздь  6*80 потай (500шт);КрепежСаморезыГвозди;Дюбели;;158;155;14;;;шт;sd_00124;0;"
"Б0001256;Дюбель-гвоздь  8* 60 потай (500шт);КрепежСаморезыГвозди;Дюбели;;202;198;320;;;шт;;0;"
"Б0001481;Дюбель-гвоздь  8* 80 потай (100шт);КрепежСаморезыГвозди;Дюбели;;251;246;891;;;шт;;0;"
"Б0001483;Дюбель-гвоздь  8*140 потай (50шт);КрепежСаморезыГвозди;Дюбели;;502;492;208;;;шт;;0;"
"Б0001484;Дюбель-гвоздь 10*100 потай (50шт);КрепежСаморезыГвозди;Дюбели;;627;614;548;;;шт;;0;"
"Б0002533;Дюбель-гвоздь 10*120 потай;КрепежСаморезыГвозди;Дюбели;;690;676;470;;;шт;;0;"
"Б0001879;Дюбель-гвоздь 10*140 потай (50шт);КрепежСаморезыГвозди;Дюбели;;829;811;96;;;шт;;0;"
"Б0001485;Дюбель-гвоздь 10*160 потай (50шт);КрепежСаморезыГвозди;Дюбели;;916;897;100;;;шт;;0;"
"Б0000566;Заклепка вытяжная 32х 6;КрепежСаморезыГвозди;Заклепки;;51;50;1000;;;шт;;0;"
"Б0000567;Заклепка вытяжная 32х 8;КрепежСаморезыГвозди;Заклепки;;51;50;820;;;шт;;0;"
"Б0000569;Заклепка вытяжная 32х12;КрепежСаморезыГвозди;Заклепки;;57;55;965;;;шт;;0;"
"Б0001496;Заклепка вытяжная 32х15;КрепежСаморезыГвозди;Заклепки;;63;62;1000;;;шт;;0;"
"Б0000570;Заклепка вытяжная 40х 6;КрепежСаморезыГвозди;Заклепки;;69;67;1098;;;шт;;0;"
"Б0000573;Заклепка вытяжная 40х12;КрепежСаморезыГвозди;Заклепки;;79;78;330;;;шт;;0;"
"Б0000574;Заклепка вытяжная 40х14;КрепежСаморезыГвозди;Заклепки;;84;82;400;;;шт;;0;"
"Б0000575;Заклепка вытяжная 40х16;КрепежСаморезыГвозди;Заклепки;;61;60;225;;;шт;;0;"
"Б0000395;Саморез 35*16 гипсокартон/дерево;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;23;23;1000;;;шт;;0;"
"Б0000396;Саморез 35*16 гипсокартон/металл;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;23;23;4340;;;шт;;0;"
"Б0000329;Саморез 35*19 гипсокартон/дерево;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;23;23;800;;;шт;sd_00136;0;"
"Б0000393;Саморез 35*19 гипсокартон/металл;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;23;23;2000;;;шт;;0;"
"Б0000394;Саморез 35*25 гипсокартон/дерево;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;26;26;4000;;;шт;;0;"
"Б0000251;Саморез 35*25 гкл/металл;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;31;30;11824;;;шт;samorez;1;Служит для крепления гипсокартонных листов (ГКЛГКЛВГКЛВО) к каркасу из металлических профилей (толщина стенки до 07 мм)."
"Б0000397;Саморез 35*35 гипсокартон/дерево;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;38;38;9013;;;шт;;0;"
"Б0000383;Саморез 35*35 гипсокартон/металл;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;42;41;10500;;;шт;;0;"
"Б0000405;Саморез 35*41 гипсокартон/дерево;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;46;45;5870;;;шт;sd_00139;0;"
"Б0000406;Саморез 35*41 гипсокартон/металл;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;49;48;13500;;;шт;;0;"
"Б0000408;Саморез 35*45 гипсокартон/дерево;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;54;53;2014;;;шт;;0;"
"Б0000407;Саморез 35*45 гипсокартон/металл;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;49;48;300;;;шт;;0;"
"Б0000421;Саморез 35*51 гипсокартон/дерево;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;57;56;8000;;;шт;;0;125кг-5000шт"
"Б0000422;Саморез 35*51 гипсокартон/металл;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;51;50;7000;;;шт;;0;"
"Б0000424;Саморез 35*55 гипсокартон/дерево;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;65;64;2000;;;шт;sd_00131;0;"
"Б0000423;Саморез 35*55 гипсокартон/металл;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;46;45;1182;;;шт;;0;"
"Б0003148;Саморез 42*70 гипсокартон/дерево;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;89;87;150;;;шт;sd_00135;0;"
"Б0000433;Саморез 48*100 гипсокартон/дерево;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;275;270;1350;;;шт;;0;"
"Б0000436;Саморез 48*127 гипсокартон/дерево;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;239;234;1530;;;шт;;0;"
"Б0000437;Саморез 48*150 гипсокартон/дерево;КрепежСаморезыГвозди;Саморезы для крепления ГКЛ;;251;246;412;;;шт;;0;"
"Б0000939;Насадка Ph  N2х25мм крестообразная;КрепежСаморезыГвозди;Саморезы для крепления металла;;1254;1228;2;;;шт;_MG_8254;0;"
"Б0000818;Насадка Ph  N2х50мм крестообразная;КрепежСаморезыГвозди;Саморезы для крепления металла;;3468;3395;48;;;шт;_MG_8256;0;"
"Б0002457;Саморез 35*11  металл - металлсверло;КрепежСаморезыГвозди;Саморезы для крепления металла;;38;38;2400;;;шт;;0;"
"Б0000254;Саморез 42х13 прессшайбойнаконечник-острый (оцинк.);КрепежСаморезыГвозди;Саморезы для крепления металла;;35;34;11500;;;шт;sd_00137;0;131кг-10000шт"
"Б0000409;Саморез 42х13 прессшайбойнаконечник-сверло (оцинк.);КрепежСаморезыГвозди;Саморезы для крепления металла;;42;41;11061;;;шт;sd_00133;0;"
"Б0000382;Саморез 42х16 прессшайбойнаконечник-острый (оцинк.);КрепежСаморезыГвозди;Саморезы для крепления металла;;38;38;8000;;;шт;;0;"
"Б0000410;Саморез 42х16 прессшайбойнаконечник-сверло (оцинк.);КрепежСаморезыГвозди;Саморезы для крепления металла;;45;44;5000;;;шт;;0;"
"Б0000411;Саморез 42х19 прессшайбойнаконечник-острый (оцинк.);КрепежСаморезыГвозди;Саморезы для крепления металла;;42;41;1970;;;шт;;0;"
"Б0000412;Саморез 42х19 прессшайбойнаконечник-сверло (оцинк.);КрепежСаморезыГвозди;Саморезы для крепления металла;;51;50;3705;;;шт;;0;"
"Б0000414;Саморез 42х25 прессшайбойнаконечник-острый (оцинк.);КрепежСаморезыГвозди;Саморезы для крепления металла;;52;51;1600;;;шт;;0;"
"Б0000413;Саморез 42х25 прессшайбойнаконечник-сверло (оцинк.);КрепежСаморезыГвозди;Саморезы для крепления металла;;57;55;100;;;шт;;0;"
"Б0000415;Саморез 42х32 прессшайбойнаконечник-острый (оцинк.);КрепежСаморезыГвозди;Саморезы для крепления металла;;45;44;200;;;шт;;0;"
"Б0000416;Саморез 42х32 прессшайбойнаконечник-сверло (оцинк.);КрепежСаморезыГвозди;Саморезы для крепления металла;;59;58;1000;;;шт;;0;"
"Б0000418;Саморез 42х38 прессшайбойнаконечник-сверло (оцинк.);КрепежСаморезыГвозди;Саморезы для крепления металла;;76;75;1150;;;шт;;0;"
"Б0001472;Насадка  8х45 магнитнаяшестигранная;КрепежСаморезыГвозди;Саморезы кровельные;;5016;4911;2;;;шт;;0;"
"Б0000957;Насадка 10х45 магнитнаяшестигранная;КрепежСаморезыГвозди;Саморезы кровельные;;6270;6138;3;;;шт;;0;"
"Б0001504;Саморез 48х29 кровельныйсверлоRAL 3003 красный;КрепежСаморезыГвозди;Саморезы кровельные;;227;222;250;;;шт;;0;"
"Б0001505;Саморез 48х29 кровельныйсверлоRAL 3005 вишня;КрепежСаморезыГвозди;Саморезы кровельные;;227;222;480;;;шт;;0;"
"Б0001508;Саморез 48х29 кровельныйсверлоRAL 5005 синий;КрепежСаморезыГвозди;Саморезы кровельные;;227;222;800;;;шт;;0;"
"Б0001506;Саморез 48х29 кровельныйсверлоRAL 6002 зеленый;КрепежСаморезыГвозди;Саморезы кровельные;;227;222;200;;;шт;;0;"
"Б0001507;Саморез 48х29 кровельныйсверлоRAL 6005 темн. зеленый;КрепежСаморезыГвозди;Саморезы кровельные;;227;222;450;;;шт;;0;"
"Б0001509;Саморез 48х29 кровельныйсверлоRAL 9003 белый;КрепежСаморезыГвозди;Саморезы кровельные;;227;222;150;;;шт;;0;"
"Б0001499;Саморез 48х29 кровельныйсверлооцинк;КрепежСаморезыГвозди;Саморезы кровельные;;176;173;1500;;;шт;;0;"
"Б0001510;Саморез 48х35 кровельныйсверлоRAL 3003 красный;КрепежСаморезыГвозди;Саморезы кровельные;;239;234;360;;;шт;;0;"
"Б0001838;Саморез 48х35 кровельныйсверлоRAL 3009 коррида;КрепежСаморезыГвозди;Саморезы кровельные;;239;234;500;;;шт;;0;"
"Б0001513;Саморез 48х35 кровельныйсверлоRAL 5005 синий;КрепежСаморезыГвозди;Саморезы кровельные;;239;234;600;;;шт;;0;"
"Б0001512;Саморез 48х35 кровельныйсверлоRAL 6002 зеленый;КрепежСаморезыГвозди;Саморезы кровельные;;239;234;429;;;шт;;0;"
"Б0001514;Саморез 48х35 кровельныйсверлоRAL 9003 белый;КрепежСаморезыГвозди;Саморезы кровельные;;239;234;650;;;шт;;0;"
"Б0001500;Саморез 48х35 кровельныйсверлооцинк;КрепежСаморезыГвозди;Саморезы кровельные;;202;198;250;;;шт;;0;"
"Б0001515;Саморез 48х50 кровельныйсверлоRAL 3003 красный;КрепежСаморезыГвозди;Саморезы кровельные;;239;234;380;;;шт;;0;"
"Б0001516;Саморез 48х50 кровельныйсверлоRAL 3005 вишня;КрепежСаморезыГвозди;Саморезы кровельные;;239;234;260;;;шт;;0;"
"Б0001519;Саморез 48х50 кровельныйсверлоRAL 5005 синий;КрепежСаморезыГвозди;Саморезы кровельные;;239;234;400;;;шт;;0;"
"Б0001517;Саморез 48х50 кровельныйсверлоRAL 6002 зеленый;КрепежСаморезыГвозди;Саморезы кровельные;;239;234;440;;;шт;;0;"
"Б0001518;Саморез 48х50 кровельныйсверлоRAL 6005 темн.зеленый;КрепежСаморезыГвозди;Саморезы кровельные;;239;234;680;;;шт;;0;"
"Б0001520;Саморез 48х50 кровельныйсверлоRAL 9003 белый;КрепежСаморезыГвозди;Саморезы кровельные;;239;234;700;;;шт;;0;"
"Б0001839;Саморез 55х19 кровельныйсверлооцинк;КрепежСаморезыГвозди;Саморезы кровельные;;158;155;1800;;;шт;;0;"
"Б0000956;Саморез 55х25 кровельныйсверлооцинк;КрепежСаморезыГвозди;Саморезы кровельные;;187;183;1750;;;шт;;0;"
"Б0001502;Саморез 55х38 кровельныйсверлооцинк;КрепежСаморезыГвозди;Саморезы кровельные;;251;246;900;;;шт;;0;"
"Б0001503;Саморез 55х51 кровельныйсверлооцинк;КрепежСаморезыГвозди;Саморезы кровельные;;289;283;838;;;шт;;0;"
"Б0002804;Саморез 63х51 кровельныйсверлооцинк;КрепежСаморезыГвозди;Саморезы кровельные;;323;307;1000;;;шт;;0;"
"Б0000457;Саморез У 30*20  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;26;26;359;;;шт;;0;"
"Б0000459;Саморез У 30*30  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;26;26;414;;;шт;;0;"
"Б0000461;Саморез У 30*40  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;38;38;320;;;шт;;0;"
"Б0000460;Саморез У 35*25  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;32;31;510;;;шт;;0;"
"Б0001927;Саморез У 35*45  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;46;45;80;;;шт;;0;"
"Б0000464;Саморез У 40*20  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;38;38;550;;;шт;;0;"
"Б0000465;Саморез У 40*25  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;34;33;380;;;шт;;0;"
"Б0000466;Саморез У 40*30  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;38;38;130;;;шт;;0;"
"Б0000467;Саморез У 40*35  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;49;48;400;;;шт;;0;"
"Б0000468;Саморез У 40*40  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;38;38;840;;;шт;sd_00128;0;"
"Б0000469;Саморез У 40*45  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;51;50;370;;;шт;;0;"
"Б0000470;Саморез У 40*50  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;61;60;100;;;шт;;0;"
"Б0000471;Саморез У 40*60  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;74;72;448;;;шт;;0;"
"Б0000475;Саморез У 50* 25  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;61;60;480;;;шт;;0;"
"Б0000476;Саморез У 50* 30  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;69;67;500;;;шт;;0;"
"Б0000477;Саморез У 50* 35  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;79;78;490;;;шт;;0;"
"Б0000478;Саморез У 50* 40  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;76;75;335;;;шт;;0;"
"Б0000480;Саморез У 50* 50  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;101;99;430;;;шт;;0;"
"Б0000481;Саморез У 50* 60  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;89;87;115;;;шт;;0;"
"Б0000473;Саморез У 50*100  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;214;210;108;;;шт;;0;"
"Б0000493;Саморез У 60* 40  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;114;111;152;;;шт;;0;"
"Б0000495;Саморез У 60* 50  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;139;136;364;;;шт;;0;"
"Б0000497;Саморез У 60* 70  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;152;148;214;;;шт;;0;"
"Б0000499;Саморез У 60* 90  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;251;246;154;;;шт;;0;"
"Б0000487;Саморез У 60*120  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;377;369;231;;;шт;;0;"
"Б0000490;Саморез У 60*160  желтый;КрепежСаморезыГвозди;Саморезы универсальные потай;;904;885;222;;;шт;;0;"
"Б0001525;Шуруп шестигр. цинк   6х60;КрепежСаморезыГвозди;Шурупы;;214;210;51;;;шт;;0;"
"Б0001526;Шуруп шестигр. цинк   6х70;КрепежСаморезыГвозди;Шурупы;;239;234;101;;;шт;;0;"
"Б0001527;Шуруп шестигр. цинк   6х80;КрепежСаморезыГвозди;Шурупы;;277;271;99;;;шт;;0;"
"Б0001528;Шуруп шестигр. цинк   6х90;КрепежСаморезыГвозди;Шурупы;;302;295;88;;;шт;;0;"
"Б0001522;Шуруп шестигр. цинк   8х50;КрепежСаморезыГвозди;Шурупы;;352;345;25;;;шт;;0;"
"Б0001523;Шуруп шестигр. цинк   8х70;КрепежСаморезыГвозди;Шурупы;;453;443;69;;;шт;;0;"
"Б0001524;Шуруп шестигр. цинк   8х80;КрепежСаморезыГвозди;Шурупы;;528;517;46;;;шт;;0;"
"Б0001529;Шуруп шестигр. цинк  6х100;КрепежСаморезыГвозди;Шурупы;;340;333;81;;;шт;;0;"
"Б0001530;Шуруп шестигр. цинк  6х120;КрепежСаморезыГвозди;Шурупы;;402;394;81;;;шт;;0;"
"Б0000649;Битум БН 90/10 (15 кг);Кровельные материалы;Мягкая кровля;;1520;1490;14;;;кг;;0;"
"Б0000304;Рубероид РКК-350  1х10м (с посыпкой);Кровельные материалы;Мягкая кровля;;40185;39339;20.01;;;рул;rkk_350;0;Рубероид РКК-350. Рубероид кровельный с крупнозернистой посыпкой. Применяется для верхних слоев кровельного ковра."
"Б0000364;Рубероид РПП-300(О) М 1х15м;Кровельные материалы;Мягкая кровля;;28785;28179;34.01;;;рул;rpp_300;0;Рубероид РПП-300. Рубероид подкладочный с пылевидной посыпкой. Применяется для нижних слоев кровельного ковра. Посыпка из песка не наносится."
"Б0002099;Гвозди к одулину (20шт/лист) зеленые уп. 100шт.;Кровельные материалы;Ондулин;;14500;13500;0.01;;;упак;Nails;0;"
"Б0000975;Гвозди к одулину (20шт/лист) коричневые уп. 100шт.;Кровельные материалы;Ондулин;;14500;13500;0.01;;;упак;Nails;0;"
"Б0001390;Гвозди к одулину (20шт/лист) красные уп. 100шт.;Кровельные материалы;Ондулин;;14500;13500;0.01;;;упак;Nails;0;"
"Б0002018;Гвозди к одулину (20шт/лист) черные уп. 100шт.;Кровельные материалы;Ондулин;;14500;13500;0.01;;;упак;Nails;0;"
"Б0001595;Коньковый элемент 036м*1м зеленый;Кровельные материалы;Ондулин;;27550;26970;0.01;;;шт;;0;"
"Б0000365;Коньковый элемент/ендова 036м*1м коричневый;Кровельные материалы;Ондулин;;26600;26040;0.01;;;шт;konek_kor;0;"
"Б0001389;Коньковый элемент/ендова 036м*1м красный;Кровельные материалы;Ондулин;;26600;26040;0.01;;;шт;;0;"
"Б0001411;Коньковый элемент/ендова 036м*1м сланец;Кровельные материалы;Ондулин;;26600;26040;0.01;;;шт;;0;"
"Б0000944;Ондулин лист зеленый 095м*195м;Кровельные материалы;Ондулин;;45600;44600;0.01;;;лист;Ondulingreen;0;"
"Б0000306;Ондулин лист коричневый 095м*195м;Кровельные материалы;Ондулин;;43900;42900;0.01;;;лист;OnduliShbrown;0;"
"Б0000307;Ондулин лист красный 095м*195м;Кровельные материалы;Ондулин;;43900;42900;0.01;;;лист;ODL_PROD_red_001;1;"
"Б0001136;Ондулин лист сланец;Кровельные материалы;Ондулин;;39900;38900;0.01;;;лист;;0;"
"Б0002290;Щипцовый элемент 0.20м*1.10м зеленый;Кровельные материалы;Ондулин;;26600;26040;0.01;;;шт;;0;"
"Б0001671;Щипцовый элемент 0.20м*1.10м коричневый;Кровельные материалы;Ондулин;;26600;26040;0.01;;;шт;;0;"
"Б0000174;Щипцовый элемент 0.20м*1.10м красный;Кровельные материалы;Ондулин;;26600;26040;0.01;;;шт;;0;"
"Б0002176;Щипцовый элемент 0.20м*1.10м сланец;Кровельные материалы;Ондулин;;26600;26040;0.01;;;шт;;0;"
"Б0001261;Линокром ТКП гранулят серый 1х10м;Кровельные материалы;Технониколь;;95950;93930;0.01;;;рул;;0;"
"Б0000361;Линокром ТПП 1х15м;Кровельные материалы;Технониколь;;122550;119970;0.01;;;рул;;0;"
"Б0000360;Линокром ХКП гранулят серый 1х10м;Кровельные материалы;Технониколь;;89300;87420;15.01;;;рул;;0;Линокром состоит из прочной негниющей органической основына которую с двух сторон нанесено высококачественное битумное вяжущее. Нижняя сторона линокрома покрывается легко оплавляемой полимерной пленкой. Применяется как кровельный и гидроизоляционный наплавляемый материал."
"Б0001405;Линокром ХПП 1х15м;Кровельные материалы;Технониколь;;111340;108996;08.01;;;рул;;0;Линокром состоит из прочной негниющей органической основына которую с двух сторон нанесено высококачественное битумное вяжущее. Нижняя сторона линокрома покрывается легко оплавляемой полимерной пленкой. Применяется как кровельный и гидроизоляционный наплавляемый материал."
"Б0000843;Шифер кров.волновой 1750*980*58мм;Кровельные материалы;Шифер;;19950;19530;0.01;;;лист;shifer;0;"
"Б0001861;Шифер плоский  1750*1130*6мм;Кровельные материалы;Шифер;;28200;28200;0.01;;;лист;ploskii;0;"
"Б0002374;Шифер плоский 1750*1130*8мм;Кровельные материалы;Шифер;;28500;28500;0.01;;;лист;ploskii;0;"
"Б0001426;ВД белая матовая  25л \MATTLATEX\ D100 PUFAS;ЛакиКраски;Воднодисперсионные краски;;40850;39990;2;;;шт;_MG_8077;0;Матовая латексная краска для внутренних работ. Не содержит растворитель.Белая матоваястойкая к истираниюэкономичная в расходедля стен и потолка внутри помещений по штукатуркебетонугипсу и ГКЛструктурным обоям и т.п.Идеальна для окраски стекловолокна. Расход около 65 кв.м/л или 150 мл/кв.м в 1 слой по гладкой поверхности."
"Б0000662;ВД супербелая краска  10л  \SUPERWEISS\ D-4  DUFA;ЛакиКраски;Воднодисперсионные краски;;194750;190650;1;;;шт;;0;Дисперсионная краска для внутренних работ. Не содержит растворитель и вредных веществ. Белоснежнаяглубоко матоваявлагостойкаяочень экономичная в расходе с превосходной укрывистостью. Для стен и потолка по штукатуркебетонугипсу и ГКЛструктурным обоям и т.п. Позволяет окрашивать даже загрязнённые поверхностикак правилов 1 слой. Наносится валикомкистью или распылителем. Для первого слоя рекомендуется разбавлять краску водой5 кв.м/л или 150 мл/кв.м в 1 слой по гладкой поверхности."
"ДХ1526;ВДАК интерьерная  матовая 10 л Sakret 7;ЛакиКраски;Воднодисперсионные краски;;238355;233337;3;Расход:3-9м2/л;;шт;;0;Акриловая матовая краска для стен и потолков. Устойчива к мытьюобладает хорошей укрывистостью и не образует подтеков."
"ДХ1527;ВДАК интерьерная  соверш. матовая 10 л Sakret 3;ЛакиКраски;Воднодисперсионные краски;;197600;193440;3;Расход:3-9м2/л;;шт;;0;Акриловая совершенно матовая краска для потолков. Устойчив к мытьюобладает хорошей укрывистостью и не образует подтеков."
"Б0001847;ВДАК интерьерная соверш. матовая 27 л Sakret 3;ЛакиКраски;Воднодисперсионные краски;;61180;59892;3;Расход:3-9м2/л;;шт;;0;Акриловая совершенно матовая краска для потолков. Устойчив к мытьюобладает хорошей укрывистостью и не образует подтеков."
"ДХ1528;ВДАК интерьерная экологич.чистая професс.  10 л  Sakret PROF;ЛакиКраски;Воднодисперсионные краски;;146490;143406;1;Расход:7-9м2/л;;шт;;0;Акриловая краска PROF обладает безупречной укрывистостью и низким расходомпоэтому лучше всего подходит для отделки помещений большой площади (индустриальные и спортивные объектыобщественные здания и т.п.)"
"Б0002315;ВДАК интерьерная экологич.чистая професс.  27 л  Sakret PROF;ЛакиКраски;Воднодисперсионные краски;;43890;42966;2;Расход:7-9м2/л;;шт;;0;Акриловая краска PROF обладает безупречной укрывистостью и низким расходомпоэтому лучше всего подходит для отделки помещений большой площади (индустриальные и спортивные объектыобщественные здания и т.п.)"
"Б0000604;ВДАК интерьернаясупербелая  14кг  \ХАМЕЛЕОН\;ЛакиКраски;Воднодисперсионные краски;;43320;42408;4;;;шт;;0;"
