"Код;Наименование;Уровень1;Уровень2;Уровень3;Цена;ЦенаСП;Количество;Поля свойств;Совместные покупки;Единица измерения;Картинка;Выводить на главной;Описание"
"Б0000036;ГКЛВ 12.5мм (12х25м) \Кнауф\;Гипсокартон и Комплектующие;Гипсокартон;;35100;35100;0.01;;;лист;sd_00127;0;Применяется для устройства легких межкомнатных перегородокподвесных потолковоблицовки стен и огнезащиты конструкцийа также в зданиях и помещениях с влажным и мокрым влажностными режимами по СНиП II-3-79* с обеспечением вытяжной вентиляцией и при условии защиты лицевой поверхностинапример: гидроизоляциейводостойкими грунтовкамикраскамикерамической плиткойпокрытиями из полихлорвинила."
"Б0001624;ГКЛВ 12.5мм (1200х2500) 52шт \Декоратор\;Гипсокартон и Комплектующие;Гипсокартон;;33000;33000;34;;;лист;g_vlaga_1_300;0;Применяется для устройства легких межкомнатных перегородокподвесных потолковоблицовки стен и огнезащиты конструкцийа также в зданиях и помещениях с влажным и мокрым влажностными режимами по СНиП II-3-79* с обеспечением вытяжной вентиляцией и при условии защиты лицевой поверхностинапример: гидроизоляциейводостойкими грунтовкамикраскамикерамической плиткойпокрытиями из полихлорвинила."
"Б0000233;Подвес прямой П60 (толщина 08мм);Гипсокартон и Комплектующие;Профиль для гипсокартона;;371;363;2770;;;шт;podves;0;Предназначен для закрепления (подвески) потолочных профилей к несущим конструкциям. Закрепляется на базовом основании анкерным элементом (ж/б потолок) или дюбелем (стена). Потолочный профиль ПП 60/27 крепится к подвесу шурупами."
"Б0000241;Профиль маячковый 10мм 3м;Гипсокартон и Комплектующие;Профиль для гипсокартона;;2470;2418;132;;;шт;mayak10;0;Применяется в качестве опорной направляющей базы при оштукатуривании для получения ровной поверхности."
"Б0000240;Профиль маячковый 6мм 3м;Гипсокартон и Комплектующие;Профиль для гипсокартона;;1995;1953;348;;;шт;mayak6;0;Применяется в качестве опорной направляющей базы при оштукатуривании для получения ровной поверхности."
"Б0000225;Профиль направляющий   ПН2  50x40   3м (шт.);Гипсокартон и Комплектующие;Профиль для гипсокартона;;7410;7254;5;;;шт;4659;0;Металлические профили ПН имеют П-образную форму и служат в качестве направляющих элементов для стоечных профилейа также для устройства перемычек между ними в каркасах перегородок и облицовок.<br>Применяется для устройства каркасов межкомнатных перегородокоблицовок и других конструкций на основе (ГКЛГКЛВГКЛВО) Как правилослужит направляющим элементом для стоечного профиля соответствующего типоразмера."
"Б0000226;Профиль направляющий   ПН2 75x40   3м (шт.);Гипсокартон и Комплектующие;Профиль для гипсокартона;;10355;10137;11;;;шт;4667;0;Металлические профили ПН имеют П-образную форму и служат в качестве направляющих элементов для стоечных профилейа также для устройства перемычек между ними в каркасах перегородок и облицовок.<br>Применяется для устройства каркасов межкомнатных перегородокоблицовок и других конструкций на основе (ГКЛГКЛВГКЛВО) Как правилослужит направляющим элементом для стоечного профиля соответствующего типоразмера."
"Б0000227;Профиль направляющий  ПН6  100x40  3м (шт.);Гипсокартон и Комплектующие;Профиль для гипсокартона;;10640;10416;8;;;шт;100_40;0;Металлические профили ПН имеют П-образную форму и служат в качестве направляющих элементов для стоечных профилейа также для устройства перемычек между ними в каркасах перегородок и облицовок.<br>Применяется для устройства каркасов межкомнатных перегородокоблицовок и других конструкций на основе (ГКЛГКЛВГКЛВО) Как правилослужит направляющим элементом для стоечного профиля соответствующего типоразмера."
"Б0000223;Профиль потол. направляющий ПН  28x27   3м;Гипсокартон и Комплектующие;Профиль для гипсокартона;;4465;4371;108;;;шт;4660;0;"
"Б0001054;Профиль потолочный ПП  60x27  3м;Гипсокартон и Комплектующие;Профиль для гипсокартона;;6935;6789;218;;;шт;4661;1;Область применения: С-образный металлический потолочный профиль предназначен для формирования каркаса подвесных потолков и облицовки стен. Применяется для устройства каркасов подвесных потолковоблицовок и других конструкций на основе (ГКЛГКЛВГКЛВО)<br>Процесс применения: Как правилоиспользуется совместно с направляющим потолочным профилем.<br>Рекомендации: Крепление профиля ПП к несущему основанию (перекрытию) осуществляется при помощи специальных подвесовосновными среди которых являются: подвес прямой и подвес с зажимом."
